iteration,timestamp,sigma_pred,local_scale,corr_rolling50,param_mu,param_omega,param_alpha[1],param_gamma[1],param_beta[1],param_nu
983,2025-02-04 09:55:00,0.004106506647409505,1.8813355827526799,0.14654588848905956,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
984,2025-02-04 10:00:00,0.0040844098325272995,1.9182649059053924,0.09756547746360272,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
985,2025-02-04 10:05:00,0.004007863060690377,1.6385399822020548,0.10316171112198264,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
986,2025-02-04 10:10:00,0.00393876722200264,1.6375341112492305,0.1558421994973108,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
987,2025-02-04 10:15:00,0.003867194155535843,1.5911920369938037,0.1555751201865861,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
988,2025-02-04 10:20:00,0.0038056246373519296,1.6052437455187445,0.16107772355403335,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
989,2025-02-04 10:25:00,0.0037539018619067296,1.623460001605654,0.16138421352424773,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
990,2025-02-04 10:30:00,0.0036946685781747003,1.560845918697362,0.1363519377177675,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
991,2025-02-04 10:35:00,0.0036305426947019926,1.5074483900582907,0.16167905162617935,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
992,2025-02-04 10:40:00,0.003592749947438864,1.6057948300293927,0.038668131678978555,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
993,2025-02-04 10:45:00,0.0035679037113822264,1.6510528760645953,0.05124463737575063,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
994,2025-02-04 10:50:00,0.003548492197123946,1.6656173176061615,0.03837458606516788,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
995,2025-02-04 10:55:00,0.0035248587449826733,1.6351905493799086,0.052059974323313066,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
996,2025-02-04 11:00:00,0.0035553914671142056,1.8909377232812945,0.0060517148958905325,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
997,2025-02-04 11:05:00,0.0035888049323205213,1.9202335680711289,-0.0020320485878601645,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
998,2025-02-04 11:10:00,0.0036335277287725684,1.9925630045627776,0.00728061083155862,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
999,2025-02-04 11:15:00,0.003674200758066651,1.9946489210370937,-0.0059983268649805264,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1000,2025-02-04 11:20:00,0.0037108396780626144,1.9948127958205346,0.05278670828239669,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1001,2025-02-04 11:25:00,0.0037358517248018445,1.9555000789410053,0.03618170318925857,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1002,2025-02-04 11:30:00,0.003765990456566952,1.9931584707509518,-0.013037784226666122,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1003,2025-02-04 11:35:00,0.0037921484533715924,1.988385137454426,-0.00742852682896278,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1004,2025-02-04 11:40:00,0.0038155407939440885,1.9876453054746048,0.008043772104453988,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1005,2025-02-04 11:45:00,0.0038362107127831377,1.9857535330165734,0.05583896057701275,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1006,2025-02-04 11:50:00,0.003851369413604008,1.9687496141935297,0.07246372998796213,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1007,2025-02-04 11:55:00,0.0038689661948090423,1.9882700086558511,0.06602767825029618,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1008,2025-02-04 12:00:00,0.0038728562128647554,1.9292880324201764,0.10610802355949718,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1009,2025-02-04 12:05:00,0.003874464353390716,1.9199430289560333,0.08415261851542852,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1010,2025-02-04 12:10:00,0.003875434505861378,1.9175872521602861,0.05935727323929251,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1011,2025-02-04 12:15:00,0.003875861313528991,1.9153837523776391,-0.09748837735898228,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1012,2025-02-04 12:20:00,0.0038762507127977244,1.9154097817125244,-0.0477163090162671,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1013,2025-02-04 12:25:00,0.003882554365106224,1.9448003054459515,-0.10589271176678064,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1014,2025-02-04 12:30:00,0.003928570934199647,2.1439724462136596,-0.0990670000435531,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1015,2025-02-04 12:35:00,0.003978204358195642,2.184546700704504,-0.08834833037428337,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1016,2025-02-04 12:40:00,0.003994012544577161,2.0420574145251336,-0.1269194856916327,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1017,2025-02-04 12:45:00,0.004000251741203666,2.0026203369581173,-0.14692045927955527,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1018,2025-02-04 12:50:00,0.004009580237434018,2.020952257255508,-0.2180836054325751,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1019,2025-02-04 12:55:00,0.004022047800038873,2.0410550398188763,-0.2334978326251594,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1020,2025-02-04 13:00:00,0.003986350099396717,1.8094214440574492,-0.19482206752123907,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1021,2025-02-04 13:05:00,0.0039442941891489535,1.7604076587247635,-0.24887503968123614,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1022,2025-02-04 13:10:00,0.0038938240101995636,1.6981042378748412,-0.2954989561710933,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1023,2025-02-04 13:15:00,0.003847605052567278,1.6941754422959134,-0.2598003357151378,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1024,2025-02-04 13:20:00,0.0038021932036655035,1.6753420885895363,-0.22250160265326568,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1025,2025-02-04 13:25:00,0.0037613649667579464,1.6755515484231442,-0.17072338523495548,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1026,2025-02-04 13:30:00,0.0037252853191883507,1.678838389814773,-0.2043444487928864,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1027,2025-02-04 13:35:00,0.0036924653271563006,1.6771188100132883,-0.1993115786521718,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1028,2025-02-04 13:40:00,0.003662828416111957,1.6766304572626616,-0.1501779712579906,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1029,2025-02-04 13:45:00,0.0036372658815105267,1.6821138380272123,-0.09167838269878012,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1030,2025-02-04 13:50:00,0.003637625082724276,1.7974676939406542,-0.08490609962251747,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1031,2025-02-04 13:55:00,0.0036467807348885364,1.8410725313892917,-0.05295875360974156,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1032,2025-02-04 14:00:00,0.0036545545057138254,1.838770359236675,-0.09251485273038867,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1033,2025-02-04 14:05:00,0.003665252856123309,1.8570466768166953,-0.06740357941386958,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1034,2025-02-04 14:10:00,0.003705290258982787,2.007173362532736,-0.14305464462268036,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1035,2025-02-04 14:15:00,0.00376205274483631,2.1095102052977235,-0.14509678479405613,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1036,2025-02-04 14:20:00,0.003813960323183901,2.1135651124077746,-0.12324269856071299,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1037,2025-02-04 14:25:00,0.0038473535263113543,2.0477872860926474,-0.12603346290825929,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1038,2025-02-04 14:30:00,0.003909030601320321,2.2039089145902175,-0.044433468759991324,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1039,2025-02-04 14:35:00,0.003959827847784908,2.1806454816493854,-0.054013307167847,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1040,2025-02-04 14:40:00,0.004003157899681191,2.1688586990280134,-0.06214990174353173,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1041,2025-02-04 14:45:00,0.004054686536216085,2.230726337172512,-0.06574887431259188,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1042,2025-02-04 14:50:00,0.004092557649167821,2.1887393881674444,-0.019572645034146144,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1043,2025-02-04 14:55:00,0.004125772099627274,2.1844464708641946,-0.03267453272809214,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1044,2025-02-04 15:00:00,0.0041566040410552264,2.18908193646582,-0.02682727627234169,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1045,2025-02-04 15:05:00,0.004189871293485917,2.2163264348991367,-0.016573945250469815,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1046,2025-02-04 15:10:00,0.004300917918209768,2.6167419258671147,0.28769934306046197,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
1047,2025-02-04 15:15:00,0.0044285452074125245,2.753422571596103,0.3995806092260836,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
