open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote
2024-01-16 08:30:00,2525.99,2534.3,2525.63,2533.17,1447.6128,3664774.702406,3809,1007.5182,2550686.750598
2024-01-16 08:35:00,2533.18,2534.21,2529.44,2530.65,865.5989,2191170.663377,2821,242.0761,612930.182645
2024-01-16 08:40:00,2530.65,2535.78,2530.64,2535.78,1288.4904,3263280.120771,2471,892.9828,2261183.037342
2024-01-16 08:45:00,2535.77,2541.0,2534.4,2541.0,1568.6289,3981017.92375,4373,774.9294,1966678.076684
2024-01-16 08:50:00,2541.0,2541.6,2538.57,2541.18,1236.6414,3141758.275968,3746,743.7026,1889380.589611
2024-01-16 08:55:00,2541.19,2547.18,2540.52,2544.02,3246.0194,8257983.098392,5282,2017.0328,5130861.303493
2024-01-16 09:00:00,2544.02,2545.75,2540.61,2540.94,2217.5948,5639667.252788,5048,868.365,2208081.555943
2024-01-16 09:05:00,2540.94,2543.39,2540.5,2542.26,1405.1548,3570647.793716,3051,735.1336,1868164.242579
2024-01-16 09:10:00,2542.26,2543.36,2539.13,2539.14,2811.1075,7144299.431072,5144,1177.7197,2993078.399255
2024-01-16 09:15:00,2539.14,2544.37,2539.13,2544.37,1336.2651,3397179.696667,2737,1146.8631,2915598.585016
2024-01-16 09:20:00,2544.37,2547.87,2544.0,2547.86,1229.0488,3128510.249594,3418,852.2178,2169365.942341
2024-01-16 09:25:00,2547.86,2549.38,2545.01,2545.65,1410.2726,3592711.052888,4515,671.2414,1710144.540498
2024-01-16 09:30:00,2545.65,2548.92,2543.8,2547.35,1387.1314,3531746.379569,3699,830.5825,2114870.352198
2024-01-16 09:35:00,2547.34,2547.5,2543.45,2544.04,1969.7952,5013075.673376,3992,661.0103,1682258.963893
2024-01-16 09:40:00,2544.03,2545.22,2540.08,2541.19,1390.1095,3534732.581032,4732,861.5302,2190761.562355
2024-01-16 09:45:00,2541.19,2541.95,2538.5,2541.94,1721.8644,4372758.494716,4216,761.6777,1934533.15249
2024-01-16 09:50:00,2541.95,2545.49,2541.12,2544.64,878.4104,2234061.899527,3929,670.0654,1704122.002138
2024-01-16 09:55:00,2544.64,2545.15,2540.79,2542.86,1084.8531,2758647.797141,3806,615.0437,1563871.313379
2024-01-16 10:00:00,2542.86,2544.12,2538.5,2539.32,1203.4138,3057018.062988,4257,453.2999,1151437.005648
2024-01-16 10:05:00,2539.32,2541.6,2538.52,2540.51,546.2964,1387436.538001,2232,258.211,655747.570407
2024-01-16 10:10:00,2540.51,2540.75,2538.74,2538.75,457.4095,1161498.332886,2040,264.1249,670673.032514
2024-01-16 10:15:00,2538.74,2538.75,2534.53,2536.93,468.1017,1187365.01646,2733,186.034,471884.039184
2024-01-16 10:20:00,2536.92,2536.94,2533.07,2534.36,592.1102,1501007.474707,2313,291.0048,737674.696612
2024-01-16 10:25:00,2534.37,2536.35,2530.93,2531.65,872.0983,2209666.437526,3032,384.5836,974493.834748
2024-01-16 10:30:00,2531.66,2533.43,2529.69,2531.86,790.3941,2000897.556624,3196,333.5042,844281.291465
2024-01-16 10:35:00,2531.86,2535.08,2531.16,2534.81,563.3177,1427205.185769,2019,417.543,1057931.091986
2024-01-16 10:40:00,2534.81,2535.56,2533.05,2533.25,809.861,2052692.521438,2752,396.3539,1004606.213481
2024-01-16 10:45:00,2533.26,2535.28,2531.52,2533.19,809.5167,2050656.206189,3138,491.653,1245481.239747
2024-01-16 10:50:00,2533.2,2535.44,2533.19,2534.95,856.3622,2170651.782903,2995,579.1425,1467942.130554
